[2025-10-26 14:39:41,491] 12: INFO: Starting data ingestion
[2025-10-26 14:40:04,058] 60: INFO: Performed train test split
[2025-10-26 14:40:04,268] 67: INFO: Ingested data is splitted into train and test file
[2025-10-26 14:40:04,337] 33: INFO: Required numer of columns:2
[2025-10-26 14:40:04,337] 34: INFO: Data frame as columns:31
[2025-10-26 14:40:04,337] 33: INFO: Required numer of columns:2
[2025-10-26 14:40:04,337] 34: INFO: Data frame as columns:31
[2025-10-26 14:40:04,477] 34: INFO: Successfully wrote YAML to: Artifacts\10_26_2025_14_39_34\validated\drift_report\report.yaml
[2025-10-26 14:40:04,710] 42: INFO: Intiate data transformation method of data transformation class
[2025-10-26 14:40:04,766] 33: INFO: replacing missing values using Knn Imputer
