[2025-10-26 22:15:31,971] 12: INFO: Starting data ingestion
[2025-10-26 22:15:38,181] 60: INFO: Performed train test split
[2025-10-26 22:15:38,297] 67: INFO: Ingested data is splitted into train and test file
[2025-10-26 22:15:38,341] 33: INFO: Required numer of columns:2
[2025-10-26 22:15:38,341] 34: INFO: Data frame as columns:31
[2025-10-26 22:15:38,341] 33: INFO: Required numer of columns:2
[2025-10-26 22:15:38,341] 34: INFO: Data frame as columns:31
[2025-10-26 22:15:38,412] 34: INFO: Successfully wrote YAML to: Artifacts\10_26_2025_22_15_25\validated\drift_report\report.yaml
[2025-10-26 22:15:38,553] 42: INFO: Intiate data transformation method of data transformation class
[2025-10-26 22:15:38,622] 33: INFO: replacing missing values using Knn Imputer
