[2025-10-25 14:30:36,898] 11: INFO: Starting data ingestion
[2025-10-25 14:30:49,544] 60: INFO: Performed train test split
[2025-10-25 14:30:49,749] 67: INFO: Ingested data is splitted into train and test file
[2025-10-25 14:30:49,829] 33: INFO: Required numer of columns:2
[2025-10-25 14:30:49,829] 34: INFO: Data frame as columns:31
[2025-10-25 14:30:49,829] 33: INFO: Required numer of columns:2
[2025-10-25 14:30:49,829] 34: INFO: Data frame as columns:31
[2025-10-25 14:30:49,971] 32: INFO: Successfully wrote YAML to: Artifacts\10_25_2025_14_30_33\validated\drift_report\report.yaml
[2025-10-25 14:30:50,336] 42: INFO: Intiate data transformation method of data transformation class
[2025-10-25 14:30:50,439] 33: INFO: replacing missing values using Knn Imputer
